  0.052000 -0.568532
  0.061333 -0.614365
  0.044000 -0.497127
  0.036000 -0.413028
  0.072000 -0.632765
  0.028000 -0.333246
  0.082667 -0.670480
  0.004000  0.970649
  0.020000 -0.217023
  0.093333 -0.703375
  0.012000 -0.166536
  0.104000 -0.733131
  0.114667 -0.755441
  0.125333 -0.778532
  0.136000 -0.803767
  0.146666 -0.822706
  0.157334 -0.847081
  0.168000 -0.869161
  0.178667 -0.872349
  0.189333 -0.888071
  0.200000 -0.893795
  0.210666 -0.913376
  0.223429 -0.927914
  0.238285 -0.946758
  0.253142 -0.965852
  0.268000 -0.980685
  0.282857 -0.987433
  0.297714 -0.995674
  0.594858 -0.954741
  0.609714 -0.325645
  0.580000 -1.108940
  0.312572 -1.004661
  0.994285  0.299384
  0.994285  0.356696
  0.624572  0.005257
  0.565143 -1.104977
  0.327429 -1.018480
  0.639428 -0.067994
  0.550285 -1.097678
  0.654286 -0.031336
  0.342286 -1.030168
  0.981143  0.266777
  0.535429 -1.094243
  0.669142 -0.040556
  0.966285  0.238692
  0.520571 -1.089054
  0.357143 -1.038374
  0.684000 -0.034802
  0.505715 -1.084126
  0.951429  0.207184
  0.372000 -1.039907
  0.698857 -0.028910
  0.490858 -1.078841
  0.936572  0.175800
  0.386858 -1.039921
  0.476000 -1.076428
  0.713715 -0.025926
  0.401714 -1.047790
  0.921714  0.153574
  0.461143 -1.073716
  0.416571 -1.055814
  0.446286 -1.070407
  0.728571 -0.017956
  0.431428 -1.065011
  0.906858  0.130266
  0.743429 -0.012017
  0.892000  0.111874
  0.758285 -0.003673
  0.877142  0.093575
  0.773143  0.004901
  0.862286  0.077709
  0.788000  0.014439
  0.847428  0.062659
  0.802858  0.025884
  0.832572  0.049862
  0.817714  0.035977
